nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.018926355423119645e+02,8.796838381454601574e+01,7.483298563594260600e+01,6.229731419045384655e+01,5.942156526659463367e+01,7.004679281411785041e+01,8.994525105142828636e+01,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.845061616612954936e+01,7.712425687166806654e+01,6.822123720122567647e+01,5.884874050182110494e+01,4.997849322683927653e+01,4.672885753453559232e+01,5.830079695575980026e+01,7.557086183645753863e+01,1.001008760730839100e+02,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.819345123787660157e+01,7.004844849081906943e+01,5.723967395568330119e+01,5.156493404014651816e+01,4.479580479987809838e+01,3.875004518539241616e+01,3.686529530268605015e+01,4.714736072899908947e+01,6.212509926586403708e+01,8.245635989511289665e+01,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,9.142796200667089579e+01,7.536943058298130893e+01,6.135630719866335880e+01,4.735032776984590441e+01,4.084268240450519727e+01,3.700694773519808223e+01,3.264072334799975295e+01,2.893853180726760499e+01,2.876569702845957366e+01,3.753224460929231299e+01,5.094995881587667697e+01,6.855951687638706460e+01,9.015034392661904405e+01,nan,nan,nan,nan
nan,nan,nan,nan,nan,1.032789299034318447e+02,8.953835304305411569e+01,7.651884463967535055e+01,6.405200193539057807e+01,5.180930326917736295e+01,4.021072579599614016e+01,3.034167113822125117e+01,2.741083782793615242e+01,2.488014179360745715e+01,2.264183427673266635e+01,2.027225590180635351e+01,2.144986471761376734e+01,2.982473136687159254e+01,4.172733688742179226e+01,5.703673166305842557e+01,7.631407928952106090e+01,9.880159308895363779e+01,nan,nan,nan
nan,nan,nan,1.032789299034318447e+02,8.849913038196741866e+01,7.456568906535716224e+01,6.320131685289490520e+01,5.251923760059029433e+01,4.249403765762279050e+01,3.268090533546305920e+01,2.427095680262411292e+01,1.842761234821093552e+01,1.699299736798999660e+01,1.535900451289920632e+01,1.401895094983275492e+01,1.264828760514396144e+01,1.506510167122492838e+01,2.331267111049021779e+01,3.427452087103857536e+01,4.792870328288271509e+01,6.465704342962216344e+01,8.288815312968502269e+01,nan,nan,nan
nan,nan,9.386003183846987952e+01,7.741065216564544471e+01,6.410877989653410225e+01,5.233494187292959055e+01,4.229862977240733812e+01,3.404979325900324483e+01,2.562194838109165929e+01,1.795247865836179102e+01,1.155865346780801595e+01,9.603190716436960983e+00,8.934608353409158710e+00,7.763491638320331845e+00,7.173179621396750250e+00,6.166599366521383629e+00,9.580482939683598431e+00,1.761670393465160345e+01,2.772923287834762363e+01,3.985405731827563613e+01,5.302037811078364626e+01,6.805301671903062299e+01,8.565066531353733126e+01,nan,nan
nan,9.408787429286753934e+01,7.350685888862632567e+01,5.764238355081703702e+01,4.572927859151859309e+01,3.575152211617056253e+01,2.719645308118649751e+01,1.991286305766844222e+01,1.336087831416999272e+01,6.880066025692551435e+00,3.448546688403622884e+00,3.076420320286718635e+00,2.748724195203574361e+00,2.288385429769260959e+00,2.236367665605127453e+00,1.785390119148328125e+00,5.325718996664700278e+00,1.261222461502348224e+01,2.177683029718398799e+01,3.219112063366086574e+01,4.310243256355352059e+01,5.523965140355314674e+01,7.004074618711040046e+01,8.824794859657940549e+01,nan
nan,8.097803502243417029e+01,5.966348271786347368e+01,4.481239700043723673e+01,3.311120990930911745e+01,2.349599504054778265e+01,1.616334500045632083e+01,1.055336191792388512e+01,5.288063841409708310e+00,1.238021557422488872e+00,4.174945196194375652e-01,2.962998633069326981e-01,1.771390577094808239e-01,1.246978780083375787e-01,1.412066516849838083e-01,1.570635054435370603e-01,1.094355368390259597e+00,7.402783013902537235e+00,1.569652471963530971e+01,2.500982086128251325e+01,3.426635482821274792e+01,4.447695072472150457e+01,5.666192780051751043e+01,7.225743599492075475e+01,9.729499362274465568e+01
nan,7.564255352999812487e+01,5.375695493727147323e+01,3.740773860950687180e+01,2.541898787133212778e+01,1.568243783166004945e+01,8.888443723100150962e+00,4.323755207975681358e+00,1.377326759763832564e+00,3.555650574389258578e-01,9.093304445173347461e-02,3.130395430478850188e-02,1.007874419195468885e-02,5.249785667095781261e-03,5.929491034405755430e-03,1.278763454663116826e-02,6.737654670198503504e-02,2.265835701793990520e+00,9.465852715468045631e+00,1.767805999102971626e+01,2.650646528206709007e+01,3.595156365900765394e+01,4.748962181806251692e+01,6.551501433338216884e+01,8.975462762769591052e+01
nan,9.260995125321261412e+01,6.415179748575467045e+01,4.318556803319310688e+01,2.789399841211438158e+01,1.697185193421407234e+01,9.398007528749648287e+00,4.704547238693967515e+00,1.639819208008162610e+00,4.536213915607328895e-01,1.093182974266687785e-01,1.513498436731675750e-02,2.804512811662651043e-03,1.108485675742870930e-03,9.318758453596802382e-04,2.663161924286122292e-03,1.149681460574797365e-02,1.197338228246051378e-01,3.864878657928878081e+00,1.144055497266380961e+01,1.969748133339611584e+01,2.941092877931899707e+01,4.276729829405895345e+01,6.153518890659642437e+01,8.525541698543527502e+01
